"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 16:25:43 EEST 2023","Mon Oct 23 16:25:54 EEST 2023","10746","","Main page","","","","Header Navigation Functionality",""
"passed","Mon Oct 23 16:27:19 EEST 2023","Mon Oct 23 16:27:24 EEST 2023","4997","","SMS API page","","","","Visit customer story page",""
"passed","Mon Oct 23 16:25:54 EEST 2023","Mon Oct 23 16:26:00 EEST 2023","6535","","Main page","","","","Footer Navigation Functionality",""
"passed","Mon Oct 23 16:26:55 EEST 2023","Mon Oct 23 16:27:02 EEST 2023","7331","","SMS API page","","","","Check MMS link",""
"passed","Mon Oct 23 16:27:43 EEST 2023","Mon Oct 23 16:27:48 EEST 2023","4394","","Solutions page","","","","Scroll down functionality on Solutions' page",""
"passed","Mon Oct 23 16:27:24 EEST 2023","Mon Oct 23 16:27:34 EEST 2023","10062","","SMS API page","","","","Return to main page",""
"passed","Mon Oct 23 16:27:11 EEST 2023","Mon Oct 23 16:27:14 EEST 2023","3441","","SMS API page","","","","Choose programming language in Start Buiding section",""
"passed","Mon Oct 23 16:27:14 EEST 2023","Mon Oct 23 16:27:19 EEST 2023","4219","","SMS API page","","","","Open FAQ item",""
"passed","Mon Oct 23 16:26:27 EEST 2023","Mon Oct 23 16:26:42 EEST 2023","14393","","Main page","","","","Open solutions page",""
"passed","Mon Oct 23 16:25:33 EEST 2023","Mon Oct 23 16:25:43 EEST 2023","9193","","Main page","","","","Homepage Validation",""
"passed","Mon Oct 23 16:26:12 EEST 2023","Mon Oct 23 16:26:27 EEST 2023","15019","","Main page","","","","Open sign up form",""
"passed","Mon Oct 23 16:27:02 EEST 2023","Mon Oct 23 16:27:07 EEST 2023","4467","","SMS API page","","","","Scroll to use cases section",""
"passed","Mon Oct 23 16:27:48 EEST 2023","Mon Oct 23 16:27:57 EEST 2023","8877","","Solutions page","","","","Open uses case's page",""
"passed","Mon Oct 23 16:27:07 EEST 2023","Mon Oct 23 16:27:11 EEST 2023","3862","","SMS API page","","","","Verify functionality of slider's arrows",""
"passed","Mon Oct 23 16:26:01 EEST 2023","Mon Oct 23 16:26:12 EEST 2023","11106","","Main page","","","","Open contact us form",""
